voltage_v,current_a,temperature_c,ambient_temp_c,internal_resistance,cycle_count,battery_age_days,charge_rate_c,discharge_rate_c,time_since_charge_h,humidity_pct,battery_capacity_ah,soc_percent
3.1792,40.737,29.61,28.76,0.09834,1126,874,0.2,1.0,7.026,53.6,75,22.15
4.1657,3.795,37.95,34.25,0.13364,1459,1123,1.5,1.0,12.158,68.7,60,58.83
4.0785,10.648,34.47,22.92,0.09849,860,674,1.0,0.5,5.728,44.2,100,61.7
4.1395,-9.425,38.77,33.16,0.11301,1294,1038,1.0,0.2,3.307,61.9,75,55.35
3.1274,18.969,46.65,34.75,0.11406,1130,906,1.0,1.5,5.115,51.0,50,11.84
3.5856,-0.404,25.86,25.19,0.11104,1095,878,1.5,1.5,0.016,62.1,60,33.16
3.1983,-1.868,35.39,28.14,0.10875,1044,806,1.0,1.0,4.626,58.6,75,12.28
3.7204,-1.508,20.21,22.81,0.05325,121,112,0.5,0.2,0.172,87.5,50,41.03
3.2793,-19.371,46.21,41.21,0.07176,466,377,0.2,1.0,8.745,66.9,60,13.02
3.9248,-3.758,33.93,27.04,0.10642,1238,1005,1.0,0.5,9.074,40.4,100,45.87
3.7728,8.192,28.14,20.62,0.06593,330,226,0.5,2.0,0.486,46.2,50,43.59
3.6859,-23.181,24.88,22.27,0.12004,1482,1191,1.0,1.0,4.553,53.4,50,26.13
3.9903,15.325,37.13,29.01,0.04898,87,45,0.5,0.2,4.412,49.5,60,59.96
3.6003,-4.025,37.43,34.03,0.12546,1396,1108,0.2,0.2,2.757,81.3,100,30.23
3.3238,3.671,21.82,17.31,0.10951,1123,909,0.5,3.0,0.101,51.6,75,19.94
3.7448,-33.51,46.48,42.78,0.08914,871,698,0.5,0.2,0.485,59.4,60,30.7
4.1485,3.375,32.06,30.47,0.06123,130,86,0.5,2.0,4.307,69.0,50,61.15
3.7214,-15.647,41.44,31.73,0.11814,1332,1065,0.5,3.0,3.017,100.0,75,33.77
3.7555,-5.272,32.37,27.22,0.08687,769,584,0.5,0.5,0.189,57.8,75,45.76
4.1217,-23.512,36.42,28.15,0.0751,343,297,0.5,1.0,2.916,84.9,100,57.98
3.6183,-13.228,34.95,26.81,0.12338,1437,1145,1.5,1.0,7.568,53.5,50,28.17
4.1956,-2.453,38.24,36.14,0.09914,805,666,0.2,1.0,8.846,74.6,60,62.53
3.1916,-4.076,36.58,27.94,0.07208,385,297,0.5,0.5,4.776,47.4,60,17.58
3.6444,13.268,40.65,34.14,0.11401,1215,961,1.0,1.0,4.346,72.0,75,35.66
3.2555,-28.021,26.41,24.53,0.09237,955,748,1.5,0.5,5.863,54.4,60,8.74
3.544,-0.771,35.91,29.57,0.06101,276,238,0.5,0.5,0.573,73.7,60,31.18
3.2047,-1.486,23.5,21.57,0.11649,1184,933,0.5,1.0,0.844,72.1,60,10.29
3.267,-6.867,47.55,37.73,0.07876,459,380,1.0,0.5,2.66,69.4,50,13.95
3.253,-13.698,28.77,21.33,0.11506,1337,1061,0.5,0.2,2.399,66.4,60,11.67
3.384,16.533,30.19,25.4,0.04429,21,0,1.5,2.0,0.815,52.8,60,30.89
3.1615,30.716,34.27,25.48,0.0709,252,190,0.5,0.2,4.536,70.9,60,18.28
3.9712,-25.711,25.42,25.17,0.09268,747,574,1.0,2.0,5.405,36.0,50,42.58
3.2648,-13.863,36.53,33.78,0.08708,856,685,1.0,0.5,1.263,98.3,50,8.56
